2026-02-10 15:47:17.135 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.24K tokens (1242) | response=81 tokens | total=1.32K tokens (1323) | latency=4248ms
2026-02-10 15:51:21.552 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.04K tokens (1044) | response=65 tokens | total=1.11K tokens (1109) | latency=4210ms
2026-02-10 15:51:29.559 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.11K tokens (1114) | response=126 tokens | total=1.24K tokens (1240) | latency=1879ms
2026-02-10 15:51:30.926 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.23K tokens (1230) | response=53 tokens | total=1.28K tokens (1283) | latency=1314ms
2026-02-10 15:51:32.328 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.34K tokens (1337) | response=55 tokens | total=1.39K tokens (1392) | latency=1365ms
2026-02-10 15:51:33.661 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.46K tokens (1461) | response=50 tokens | total=1.51K tokens (1511) | latency=1292ms
2026-02-10 15:51:35.675 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.56K tokens (1556) | response=50 tokens | total=1.61K tokens (1606) | latency=1800ms
2026-02-10 15:51:37.722 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.68K tokens (1679) | response=33 tokens | total=1.71K tokens (1712) | latency=1628ms
2026-02-10 15:51:39.134 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.78K tokens (1775) | response=59 tokens | total=1.83K tokens (1834) | latency=1350ms
2026-02-10 15:51:40.212 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.90K tokens (1901) | response=49 tokens | total=1.95K tokens (1950) | latency=1057ms
2026-02-10 15:51:42.076 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=1.99K tokens (1990) | response=43 tokens | total=2.03K tokens (2033) | latency=1702ms
2026-02-10 15:51:43.442 | provider=gemini-vertex | model=gemini-2.5-flash | prompt=2.08K tokens (2082) | response=51 tokens | total=2.13K tokens (2133) | latency=1296ms
